Nombre: 843;Num;Nom;NumType;COMMUNE;Population_totale;EMPLOIS_TOTAUX;ENF;EPCI;IRIS
689;939;P+R Caroline Aigle;4;;0,00;0;0,00;;
690;940;P+R Amplitude;4;;0,00;0;0,00;;
691;941;P+R Picot;4;;0,00;0;0,00;;
692;942;P+R Thouars;4;;0,00;0;0,00;;
693;943;P+R Blancherie;4;;0,00;0;0,00;;
694;944;P+R Beausoleil;4;;0,00;0;0,00;;
695;1000;Aire de covoiturage du Teich;5;Le Teich;0,00;0;0,00;;
696;1001;Aire de Querquillas;5;Andernos-les-Bains;0,00;0;0,00;;
697;1002;Hôtel de ville;5;Lanton;0,00;0;0,00;;
698;1003;Aire de La Poste;5;Branne;0,00;0;0,00;;
699;1004;Parking de la gare;5;Gironde sur Dropt;0,00;0;0,00;;
700;1005;Place du foirail;5;Sauveterre-de-Guyenne;0,00;0;0,00;;
701;1006;Aire du Peyrat;5;Saint-André-de-Cubzac;0,00;0;0,00;;
702;1007;Beutre BA106;5;Mérignac;0,00;0;0,00;;
703;1008;Parc cimetière;5;Ambarès-et-Lagrave;0,00;0;0,00;;
704;1009;Place Escarraguel;5;Ambès;0,00;0;0,00;;
705;1010;Centre commercial giratoire du Drive;5;Bouliac;0,00;0;0,00;;
706;1011;Réserve naturelle;5;Bruges;0,00;0;0,00;;
707;1012;Place Voltaire;5;Le Taillan-Médoc;0,00;0;0,00;;
708;1013;Centre Commercial Intermarché;5;Martignas-sur-Jalle;0,00;0;0,00;;
709;1014;Aire Escute;5;Quinsac;0,00;0;0,00;;
